AB index,层/投影/AB 标识,输出维度,输入维度,A 平均 Frobenius 范数,B 平均 Frobenius 范数,A 平均最大绝对值,B 平均最大绝对值
14,base_model.model.model.layers.11.self_attn.q_proj.lora.default,3200,3200,1.203307479822281,0.3037177802756167,0.025040815118700266,0.009062343975529075
15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,3200,3200,1.2726085710713,0.3483820774095116,0.026378987357020378,0.00972594739869237
16,base_model.model.model.layers.12.self_attn.k_proj.lora.default,3200,3200,1.2098974860122191,0.31021203232273636,0.02556263841688633,0.009808342903852463
17,base_model.model.model.layers.12.self_attn.o_proj.lora.default,3200,3200,1.2743804054707764,0.34667305551334404,0.026834559626877308,0.009969419101253152
18,base_model.model.model.layers.12.self_attn.q_proj.lora.default,3200,3200,1.19990073416728,0.29942554509401975,0.024779956322163343,0.009640230564400554
19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,3200,3200,1.270832153321635,0.3510862595955533,0.026388708502054214,0.009572454262524843
20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,3200,3200,1.205975237882444,0.30327872692734387,0.025150973815470934,0.009359685238450766
21,base_model.model.model.layers.13.self_attn.o_proj.lora.default,3200,3200,1.2575117895427916,0.3430407249219516,0.02707728510722518,0.009648141916841269
22,base_model.model.model.layers.13.self_attn.q_proj.lora.default,3200,3200,1.1977547138902298,0.2985623954178109,0.024927949532866478,0.009385618614032865
23,base_model.model.model.layers.13.self_attn.v_proj.lora.default,3200,3200,1.2523081629754498,0.3407354720330235,0.026044837199151516,0.009781465632840991
24,base_model.model.model.layers.14.self_attn.k_proj.lora.default,3200,3200,1.2014556566325683,0.30534409681240104,0.025142902974039316,0.009231035364791751
25,base_model.model.model.layers.14.self_attn.o_proj.lora.default,3200,3200,1.2549009784665168,0.3553714901517988,0.026146545074880123,0.009915600065141916
26,base_model.model.model.layers.14.self_attn.q_proj.lora.default,3200,3200,1.204023857653656,0.3023031377257418,0.02511833468452096,0.00937996944412589
27,base_model.model.model.layers.14.self_attn.v_proj.lora.default,3200,3200,1.2531665347981404,0.3375917119814856,0.02703957911580801,0.010141471866518259
28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,3200,3200,1.198168707412504,0.29212575226097215,0.02417189860716462,0.00884730345569551
29,base_model.model.model.layers.15.self_attn.o_proj.lora.default,3200,3200,1.246008080771646,0.3369392858712959,0.026407501194626093,0.009236178360879421
30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,3200,3200,1.1981583049906965,0.2973899434598042,0.024333564564585686,0.00865123886615038
31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,3200,3200,1.2262094629559688,0.3246762426626223,0.026143433060497046,0.009642623132094741
32,base_model.model.model.layers.16.self_attn.k_proj.lora.default,3200,3200,1.2321232672782554,0.31089727670283673,0.025509781669825315,0.009355532703921199
33,base_model.model.model.layers.16.self_attn.o_proj.lora.default,3200,3200,1.2520788248000787,0.33197827632646654,0.026703185867518187,0.009475490311160684
34,base_model.model.model.layers.16.self_attn.q_proj.lora.default,3200,3200,1.2327513240005477,0.3177807910120143,0.02547737304121256,0.009668863145634532
35,base_model.model.model.layers.16.self_attn.v_proj.lora.default,3200,3200,1.2589804645005804,0.32664832694303403,0.026903945486992598,0.009904821636155248
36,base_model.model.model.layers.17.self_attn.k_proj.lora.default,3200,3200,1.2350698278467087,0.3479992679368841,0.025880969129502773,0.01025679660961032
37,base_model.model.model.layers.17.self_attn.o_proj.lora.default,3200,3200,1.2421506669138638,0.3372988916818792,0.027107049711048603,0.00966270687058568
38,base_model.model.model.layers.17.self_attn.q_proj.lora.default,3200,3200,1.2458347656567648,0.35805706637328477,0.026413927786052227,0.009917054791003466
39,base_model.model.model.layers.17.self_attn.v_proj.lora.default,3200,3200,1.263480263006969,0.3528562145421824,0.02654718840494752,0.010115423705428839
40,base_model.model.model.layers.18.self_attn.k_proj.lora.default,3200,3200,1.2126690532134319,0.3158536246428917,0.025240863673388958,0.009346842998638749
41,base_model.model.model.layers.18.self_attn.o_proj.lora.default,3200,3200,1.2395793339749446,0.3394516159399167,0.02572406781837344,0.00916290283203125
