运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,相对 Frobenius 误差,客户端加密秒,服务端聚合秒,客户端解密秒,CUR 秒,任务总耗时秒,上传合计字节,下发合计字节,聚合阶段总网络字节
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,15,base_model.model.model.layers.11.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0009251452143233515,0.32581757195293903,0.42810341343283653,0.04044124856591225,0.06246562674641609,2.7086403109133244,91219833,2396836,93616669.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,16,base_model.model.model.layers.12.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0001349947837302189,0.3337406301870942,0.44239192083477974,0.04351789876818657,0.0607861764729023,2.741140104830265,91214768,2396836,93611604.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,17,base_model.model.model.layers.12.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00020168865302301188,0.32567035406827927,0.4540512077510357,0.04095696657896042,0.06107209250330925,2.717412728816271,91216959,2396836,93613795.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,18,base_model.model.model.layers.12.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00019859988943068463,0.3254504222422838,0.4293964132666588,0.043140631169080734,0.060711100697517395,2.7089105509221554,91218741,2396836,93615577.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,19,base_model.model.model.layers.12.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,0.00501997815600843,0.32434678357094526,0.4294437952339649,0.040270134806632996,0.060373932123184204,2.697120852768421,91213629,2396836,93610465.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,20,base_model.model.model.layers.13.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,0.0024075963953131265,0.3232639702036977,0.42737560346722603,0.04284647852182388,0.06147565320134163,2.684530634433031,91215066,2396836,93611902.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,21,base_model.model.model.layers.13.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,0.0013447997126194147,0.32754020020365715,0.4310041815042496,0.04064888134598732,0.06141728162765503,2.7181787192821503,91219988,2396836,93616824.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,22,base_model.model.model.layers.13.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0007407043252458645,0.33768616802990437,0.4422704726457596,0.04192730411887169,0.06552346423268318,2.768826637417078,91214207,2396836,93611043.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,23,base_model.model.model.layers.13.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,0.004147768194778023,0.32595684565603733,0.43800346180796623,0.04016442596912384,0.05874396860599518,2.6969077363610268,91213238,2396836,93610074.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,24,base_model.model.model.layers.14.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0005582362772538326,0.3312441688030958,0.4366496205329895,0.04710283502936363,0.06324150040745735,2.727256592363119,91213919,2396836,93610755.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,25,base_model.model.model.layers.14.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,8.981566069095742e-05,0.3244018303230405,0.46042295917868614,0.04065645486116409,0.0577736459672451,2.7038790807127953,91214316,2396836,93611152.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,26,base_model.model.model.layers.14.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0004901364685039845,0.326521921902895,0.43076251074671745,0.0437905415892601,0.05883775278925896,2.686607226729393,91220047,2396836,93616883.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,27,base_model.model.model.layers.14.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.000264756609210235,0.3282057670876384,0.43383048847317696,0.04006609693169594,0.05762492120265961,2.6875625886023045,91215980,2396836,93612816.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,28,base_model.model.model.layers.15.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00034909147255076143,0.32873997651040554,0.437634002417326,0.04101361334323883,0.0577402338385582,2.707603394985199,91218684,2396836,93615520.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,29,base_model.model.model.layers.15.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0005406728158427146,0.33250818494707346,0.4423707239329815,0.04055788740515709,0.06625287979841232,2.740096602588892,91218834,2396836,93615670.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,30,base_model.model.model.layers.15.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00026886053745510754,0.3281575506553054,0.43319864943623543,0.04109472408890724,0.0602509081363678,2.7214417345821857,91213911,2396836,93610747.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,31,base_model.model.model.layers.15.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,0.00918715011870468,0.32994489185512066,0.4426414519548416,0.04001067206263542,0.06624036654829979,2.7163891680538654,91215910,2396836,93612746.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,32,base_model.model.model.layers.16.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.0006740155962990884,0.3298395788297057,0.4361625462770462,0.049157120287418365,0.05920223146677017,2.7256209701299667,91216798,2396836,93613634.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,33,base_model.model.model.layers.16.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00029757941450373235,0.3236703388392925,0.43544771894812584,0.03853682428598404,0.058939818292856216,2.6664345152676105,91214390,2396836,93611226.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,34,base_model.model.model.layers.16.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00020054649421008254,0.324263634160161,0.4321792908012867,0.0400494821369648,0.05718731880187988,2.65773631259799,91215073,2396836,93611909.0
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,35,base_model.model.model.layers.16.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,0.00012101818123133534,0.3241017581894994,0.43038859590888023,0.04048710688948631,0.056374598294496536,2.6603740826249123,91219067,2396836,93615903.0
