运行 ID,AB index,层/投影/AB 标识,方法,实验模式,部分加密比例,骨架优化,输出维度,输入维度,可行性,精度状态,备注,密文元素数,明文元素数,交叉块数值秩,交叉块条件数,逆方法
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,41,base_model.model.model.layers.18.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,7329,94815,16,27332.122990550186,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,42,base_model.model.model.layers.18.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,2936.845896066961,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,43,base_model.model.model.layers.18.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,7329,94815,16,37011.97372193077,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,44,base_model.model.model.layers.19.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,1095.6570632519372,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,45,base_model.model.model.layers.19.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,10833.030424720595,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,46,base_model.model.model.layers.19.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,1227.340178850349,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,47,base_model.model.model.layers.19.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,2996.801095830474,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,48,base_model.model.model.layers.2.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,5447.109126549427,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,49,base_model.model.model.layers.2.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,7329,94815,16,106996.3200096384,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,50,base_model.model.model.layers.2.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,6004.237320843626,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,51,base_model.model.model.layers.2.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,7329,94815,16,161975.10877947963,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,52,base_model.model.model.layers.20.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,6477.757559644239,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,53,base_model.model.model.layers.20.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,7329,94815,16,156738.43815971995,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,54,base_model.model.model.layers.20.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,2794.534434680274,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,55,base_model.model.model.layers.20.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,7329,94815,16,48006.512938338405,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,56,base_model.model.model.layers.21.self_attn.k_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,809.4633874125864,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,57,base_model.model.model.layers.21.self_attn.o_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,7329,94815,16,949214.9662781127,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,58,base_model.model.model.layers.21.self_attn.q_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,warning,外积 CKKS skeleton,7329,94815,16,30597.169184669758,inv
20260721-201248-real-d3200-outer-partial_AB-ratio1-skeleton,59,base_model.model.model.layers.21.self_attn.v_proj.lora.default,外积,partial_AB,1,开,3200,3200,可行,正常,外积 CKKS skeleton,7329,94815,16,148853.2282147843,inv
